Id;Username;Points
15;fabnem;12
11;fabnem;10
10;fabnem;8
7;fabnem;7
5;fabnem;6
13;fabnem;5
4;fabnem;4
8;fabnem;3
9;fabnem;2
1;fabnem;1
7;Birgitte Nyborg;12
11;Birgitte Nyborg;10
5;Birgitte Nyborg;8
9;Birgitte Nyborg;7
8;Birgitte Nyborg;6
1;Birgitte Nyborg;5
13;Birgitte Nyborg;4
10;Birgitte Nyborg;3
14;Birgitte Nyborg;2
2;Birgitte Nyborg;1
10;EuroNutella;12
13;EuroNutella;10
15;EuroNutella;8
7;EuroNutella;7
5;EuroNutella;6
3;EuroNutella;5
6;EuroNutella;4
1;EuroNutella;3
12;EuroNutella;2
4;EuroNutella;1
5;Bongo Kamerad;12
10;Bongo Kamerad;10
15;Bongo Kamerad;8
7;Bongo Kamerad;7
1;Bongo Kamerad;6
13;Bongo Kamerad;5
6;Bongo Kamerad;4
14;Bongo Kamerad;3
2;Bongo Kamerad;2
11;Bongo Kamerad;1
15;Wojtoslav;12
3;Wojtoslav;10
10;Wojtoslav;8
13;Wojtoslav;7
1;Wojtoslav;6
4;Wojtoslav;5
7;Wojtoslav;4
14;Wojtoslav;3
11;Wojtoslav;2
5;Wojtoslav;1
15;The_Thijs;12
10;The_Thijs;10
5;The_Thijs;8
1;The_Thijs;7
11;The_Thijs;6
3;The_Thijs;5
13;The_Thijs;4
9;The_Thijs;3
7;The_Thijs;2
4;The_Thijs;1
3;miļk;12
4;miļk;10
9;miļk;8
15;miļk;7
5;miļk;6
11;miļk;5
13;miļk;4
7;miļk;3
2;miļk;2
1;miļk;1
8;Kaasvreter;12
11;Kaasvreter;10
1;Kaasvreter;8
5;Kaasvreter;7
13;Kaasvreter;6
10;Kaasvreter;5
7;Kaasvreter;4
9;Kaasvreter;3
15;Kaasvreter;2
12;Kaasvreter;1
10;Matø;12
3;Matø;10
15;Matø;8
11;Matø;7
4;Matø;6
7;Matø;5
5;Matø;4
6;Matø;3
13;Matø;2
9;Matø;1
2;SaintlyStorm16;12
8;SaintlyStorm16;10
12;SaintlyStorm16;8
5;SaintlyStorm16;7
7;SaintlyStorm16;6
6;SaintlyStorm16;5
10;SaintlyStorm16;4
11;SaintlyStorm16;3
13;SaintlyStorm16;2
4;SaintlyStorm16;1
1;public;40
2;public;12
3;public;16
4;public;0
5;public;16
6;public;8
7;public;12
8;public;16
9;public;8
10;public;4
11;public;12
12;public;0
13;public;24
14;public;0
15;public;24
